Hour,Occurrence Day Of Week,ANZSOC Division,Map Detail Name,ANZSOC Group,Area Unit,Occurrence Hour Of Day,Region,Territorial Authority,Year Month,Mb2014,REGC2014 label,Ta2014 Nam,Number of Victimisations,Victimisations,Latitude,Longitude
14,Thu,Theft and Related Offences,799111.0,Theft From Retail Premises,Papakura East.,14,Auckland Region,Auckland.,1/01/2023,799111.0,Auckland Region,Auckland,1,1,-37.06412637,174.9671997
10,Mon,Theft and Related Offences,799111.0,Theft From Retail Premises,Papakura East.,10,Auckland Region,Auckland.,1/12/2022,799111.0,Auckland Region,Auckland,1,1,-37.06412637,174.9671997
15,Sat,Theft and Related Offences,423600.0,"Theft (Except Motor Vehicles), N.E.C.",St Marys.,15,Auckland Region,Auckland.,1/12/2022,423600.0,Auckland Region,Auckland,1,1,-36.83804939,174.742287
16,Sat,Theft and Related Offences,769017.0,"Theft (Except Motor Vehicles), N.E.C.",Wattle Farm.,16,Auckland Region,Auckland.,1/12/2022,769017.0,Auckland Region,Auckland,1,1,-37.04753738,174.8970784
16,Fri,Theft and Related Offences,774900.0,Theft From Retail Premises,Burbank.,16,Auckland Region,Auckland.,1/12/2022,774900.0,Auckland Region,Auckland,1,1,-37.02050588,174.8640266
1,Sun,Theft and Related Offences,774900.0,Illegal Use of a Motor Vehicle,Burbank.,1,Auckland Region,Auckland.,1/12/2022,774900.0,Auckland Region,Auckland,1,1,-37.02050588,174.8640266
7,Tue,Theft and Related Offences,774900.0,Illegal Use of a Motor Vehicle,Burbank.,7,Auckland Region,Auckland.,1/12/2022,774900.0,Auckland Region,Auckland,1,1,-37.02050588,174.8640266
21,Wed,"Unlawful Entry With Intent/Burglary, Break and Enter",774900.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Burbank.,21,Auckland Region,Auckland.,1/01/2023,774900.0,Auckland Region,Auckland,1,1,-37.02050588,174.8640266
1,Sun,Theft and Related Offences,774900.0,Illegal Use of a Motor Vehicle,Burbank.,1,Auckland Region,Auckland.,1/12/2022,774900.0,Auckland Region,Auckland,1,1,-37.02050588,174.8640266
16,Thu,Theft and Related Offences,795900.0,Theft From Retail Premises,Papakura North East.,16,Auckland Region,Auckland.,1/12/2022,795900.0,Auckland Region,Auckland,1,1,-37.05252199,174.9596128
9,Sat,Theft and Related Offences,601600.0,"Theft (Except Motor Vehicles), N.E.C.",Onehunga South West.,9,Auckland Region,Auckland.,1/12/2022,601600.0,Auckland Region,Auckland,1,1,-36.92411654,174.7820915
17,Mon,"Unlawful Entry With Intent/Burglary, Break and Enter",601600.0,"Unlawful Entry With Intent/Burglary, Break and Enter",Onehunga South West.,17,Auckland Region,Auckland.,1/01/2023,601600.0,Auckland Region,Auckland,1,1,-36.92411654,174.7820915
21,Sat,Theft and Related Offences,438402.0,Theft From a Person (Excluding By Force),Auckland Central East.,21,Auckland Region,Auckland.,1/01/2023,438402.0,Auckland Region,Auckland,1,1,-36.84696795,174.7715204
21,Thu,Theft and Related Offences,438402.0,Illegal Use of a Motor Vehicle,Auckland Central East.,21,Auckland Region,Auckland.,1/01/2023,438402.0,Auckland Region,Auckland,1,1,-36.84696795,174.7715204
5,Sat,Theft and Related Offences,494902.0,Theft From a Person (Excluding By Force),Abbotts Park.,5,Auckland Region,Auckland.,1/12/2022,494902.0,Auckland Region,Auckland,1,1,-36.88978123,174.8048089
14,Tue,Theft and Related Offences,494902.0,"Theft (Except Motor Vehicles), N.E.C.",Abbotts Park.,14,Auckland Region,Auckland.,1/01/2023,494902.0,Auckland Region,Auckland,1,1,-36.88978123,174.8048089
